 id  |           main_purpose_id            | rule_category |      rule_title      |                                   rule_description                                   | is_required | display_order |          created_at           |          updated_at           
-----+--------------------------------------+---------------+----------------------+--------------------------------------------------------------------------------------+-------------+---------------+-------------------------------+-------------------------------
  66 | 7431b624-26e2-46c1-a83e-e8a38ff7f62a | general       | ゴミの持ち帰り       | ゴミは必ず持ち帰り、現地に残さないようにしましょう。自然環境の保護にご協力ください。 | t           |             1 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  67 | 3879cb09-2d6b-4911-9a09-9493c71e82cd | general       | ゴミの持ち帰り       | ゴミは必ず持ち帰り、現地に残さないようにしましょう。自然環境の保護にご協力ください。 | t           |             1 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  68 | 0b560b0f-ffb4-4461-b20d-2343fee0a902 | general       | ゴミの持ち帰り       | ゴミは必ず持ち帰り、現地に残さないようにしましょう。自然環境の保護にご協力ください。 | t           |             1 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  69 | ed4f9dc5-e611-4e67-ad0d-8bb1afc70d77 | general       | ゴミの持ち帰り       | ゴミは必ず持ち帰り、現地に残さないようにしましょう。自然環境の保護にご協力ください。 | t           |             1 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  70 | 4476928c-9d29-4d12-a4a3-9035e5b6a9fc | general       | ゴミの持ち帰り       | ゴミは必ず持ち帰り、現地に残さないようにしましょう。自然環境の保護にご協力ください。 | t           |             1 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  71 | a29d45d3-bb14-4ffc-85af-3e555d6bcc04 | general       | ゴミの持ち帰り       | ゴミは必ず持ち帰り、現地に残さないようにしましょう。自然環境の保護にご協力ください。 | t           |             1 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  72 | 5809422b-2d99-4769-abd8-3b3c08c46ce0 | general       | ゴミの持ち帰り       | ゴミは必ず持ち帰り、現地に残さないようにしましょう。自然環境の保護にご協力ください。 | t           |             1 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  73 | cb09f05c-16e1-44ec-823b-e577f06694e2 | general       | ゴミの持ち帰り       | ゴミは必ず持ち帰り、現地に残さないようにしましょう。自然環境の保護にご協力ください。 | t           |             1 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  65 | 4361fcae-51ce-45ce-9d30-41f9e9cc2261 | general       | ゴミの持ち帰り       | ゴミは必ず持ち帰り、現地に残さないようにしましょう。自然環境の保護にご協力ください。 | t           |             1 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  74 | affc9228-2e03-4b1f-a09f-714eabe2f731 | general       | ゴミの持ち帰り       | ゴミは必ず持ち帰り、現地に残さないようにしましょう。自然環境の保護にご協力ください。 | t           |             1 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
  75 | bc7cbd8f-8b31-4009-8c22-fc80d1af76de | general       | ゴミの持ち帰り       | ゴミは必ず持ち帰り、現地に残さないようにしましょう。自然環境の保護にご協力ください。 | t           |             1 | 2025-08-14 08:23:43.771063+00 | 2025-08-14 08:23:43.771063+00
